['682716753374351360', 'person', 'wine', 'holding', 'fruit', 'picture']
['682721949072625664', 'sign', 'book', 'wall', 'picture', 'writing']
['682722242111774720', 'woman', 'eating', 'man', 'young', 'doughnut']
['682727470433308672', 'baseball', 'sign', 'bat', 'air', 'turn']
['682751920956641280', 'scissors', 'pair', 'woman', 'phone', 'controller']
['682762265041321989', 'baseball', 'player', 'writing', 'picture', 'game']
['682773510196822016', 'black', 'keyboard', 'white', 'umbrella', 'christmas']
['682783114343518208', 'cat', 'laying', 'sitting', 'black', 'bag']
['682784347305410560', 'green', 'sitting', 'orange', 'fruit', 'yellow']
['682836685323956224', 'red', 'sign', 'scissors', 'paper', 'table']
['682864661813981184', 'woman', 'man', 'food', 'store', 'wearing']
['682883715681390593', 'mouse', 'pair', 'table', 'sitting', 'shoes']
['682906033312935936', 'large', 'sitting', 'keyboard', 'picture', 'sit']
['682931582357893120', 'controllers', 'game', 'keyboard', 'white', 'microwave']
['682931696845611008', 'sign', 'street', 'sky', 'black', 'white']
['682934584527466496', 'wearing', 'mouth', 'holding', 'boy', 'shirt']
['682987076128657408', 'keyboard', 'sitting', 'mouse', 'close', 'lit']
['683009023247953921', 'man', 'person', 'screen', 'board', 'picture']
['683062203268780032', 'woman', 'young', 'teeth', 'group', 'picture']
['683087755019026432', 'coffee', 'fruit', 'plates', 'different', 'cup']
['683090662418288640', 'parking', 'road', 'street', 'sign', 'blue']
['683181977726418945', 'people', 'group', 'crowd', 'frisbee', 'beach']
['683182680360529920', 'wii', 'controllers', 'keyboard', 'white', 'sitting']
['683215653113823232', 'people', 'bike', 'overlooking', 'sitting', 'bikes']
['683250958717956097', 'close', 'pink', 'keyboard', 'white', 'mouse']
['683275769330712577', 'keyboard', 'mouse', 'black', 'sitting', 'sits']
['683293152787214336', 'purple', 'blue', 'colored', 'flowers', 'sitting']
['683295117847969793', 'road', 'street', 'snow', 'parking', 'background']
['683302904363638784', 'woman', 'sign', 'picture', 'holding', 'baseball']
['683308322259398658', 'sign', 'street', 'sky', 'writing', 'sitting']
['683313760342249472', 'sign', 'street', 'sky', 'writing', 'signs']
['683324835745902592', 'woman', 'phone', 'cell', 'man', 'holding']
['683337444511498240', 'man', 'holding', 'woman', 'shirt', 'cake']
['683344545027854336', 'baseball', 'close', 'sitting', 'sign', 'white']
['683355503947309056', 'woman', 'phone', 'cell', 'hair', 'women']
['683363557321388032', 'table', 'plate', 'chocolate', 'doughnut', 'bread']
['683364611513397248', 'display', 'store', 'different', 'case', 'shelves']
['683365234229248004', 'plate', 'food', 'white', 'rice', 'table']
['683405203328991232', 'writing', 'white', 'sign', 'lines', 'baseball']
['683417001570742274', 'red', 'sitting', 'pink', 'frisbee', 'scissors']
['683431160127590400', 'television', 'tv', 'monitors', 'sitting', 'screen']
['683800787995066368', 'tray', 'table', 'sitting', 'sit', 'fries']
['683810612518993920', 'lit', 'blurry', 'flowers', 'room', 'lights']
['683836032756920320', 'blue', 'sign', 'writing', 'street', 'white']
['683843373514514432', 'man', 'boy', 'woman', 'young', 'eating']
['683854138535358465', 'sign', 'street', 'writing', 'white', 'signs']
['683859183511285760', 'pictures', 'photos', 'different', 'sign', 'wall']
['683868783547551744', 'standing', 'woman', 'man', 'frisbee', 'holding']
['683877353898950656', 'keyboard', 'orange', 'sitting', 'coffee', 'cup']
['683882326179233793', 'cat', 'standing', 'sitting', 'looking', 'people']
['683882952938278912', 'keyboard', 'white', 'mouse', 'sitting', 'cover']
['683889125745922048', 'cat', 'white', 'black', 'gray', 'sitting']
['683894557021319169', 'man', 'men', 'people', 'woman', 'food']
['683926586698141696', 'room', 'desk', 'chairs', 'tables', 'table']
['683945720840323072', 'wii', 'sitting', 'sits', 'player', 'white']
['683958598796505088', 'keyboard', 'sitting', 'display', 'close', 'writing']
['683979570568105985', 'different', 'game', 'scissors', 'writing', 'air']
['684001784088686592', 'road', 'street', 'cars', 'traffic', 'day']
['684018093459390464', 'white', 'sitting', 'clock', 'sign', 'microwave']
['684036010636804096', 'wii', 'white', 'game', 'picture', 'writing']
['684042671741091840', 'wearing', 'woman', 'man', 'tie', 'smiling']
['684043013388120065', 'sign', 'street', 'photo', 'white', 'keyboard']
['684043024830181376', 'laying', 'sleeping', 'cat', 'lying', 'bed']
['684047142906761216', 'white', 'snow', 'swimming', 'line', 'bench']
['684048166224838656', 'man', 'men', 'people', 'woman', 'picture']
['684051880524161026', 'green', 'scissors', 'sign', 'wall', 'different']
['684110397914386433', 'white', 'sitting', 'airplane', 'microwave', 'kitchen']
['684110747933237249', 'sitting', 'laptop', 'table', 'woman', 'lap']
['684127708486496259', 'sign', 'book', 'writing', 'parking', 'image']
['684140022417780739', 'yellow', 'sign', 'soccer', 'ball', 'mouth']
['684160451572281344', 'cake', 'picture', 'television', 'writing', 'birthday']
['684162257475997696', 'sitting', 'outside', 'bench', 'white', 'area']
['684530584765333504', 'plate', 'sitting', 'bread', 'close', 'pizza']
['684536371386683392', 'woman', 'wearing', 'glasses', 'young', 'smiling']
['684585518105899008', 'group', 'people', 'standing', 'table', 'men']
['684590148672077824', 'man', 'tie', 'suit', 'wearing', 'shirt']
['684607693915439104', 'sign', 'street', 'black', 'white', 'writing']
['684633048483106816', 'white', 'window', 'sitting', 'view', 'black']
['684649006606061568', 'sign', 'picture', 'writing', 'says', 'white']
['684667398843047936', 'holding', 'woman', 'man', 'sign', 'phone']
['684698671594778624', 'sign', 'street', 'white', 'sky', 'writing']
['684741930924793856', 'white', 'tennis', 'black', 'wall', 'sign']
['684746305810239488', 'street', 'sign', 'white', 'sky', 'road']
['684751136490962945', 'red', 'person', 'laying', 'dog', 'woman']
['684751563454205952', 'cat', 'sign', 'man', 'picture', 'standing']
['684751830425833472', 'sign', 'street', 'white', 'lines', 'sky']
['684788302143078400', 'cat', 'laying', 'sitting', 'television', 'box']
['684821191039840256', 'man', 'keyboard', 'picture', 'photo', 'sitting']
['684835175738568704', 'sign', 'street', 'writing', 'road', 'building']
['684848251552567298', 'hanging', 'inside', 'kitchen', 'microwave', 'station']
['684888905758318592', 'man', 'cell', 'phone', 'woman', 'bus']
['684920023475994626', 'keyboard', 'table', 'sits', 'sitting', 'white']
['684921998305312768', 'woman', 'phone', 'cell', 'talking', 'smiling']
['684922233274380288', 'white', 'street', 'keyboard', 'sign', 'writing']
['684923881421930496', 'sign', 'street', 'stop', 'white', 'black']
['684934265751093248', 'white', 'woman', 'wearing', 'black', 'toothbrush']
