['682716753374351360', 'different', 'display', 'types', 'sitting', 'donuts']
['682721949072625664', 'sign', 'wall', 'street', 'picture', 'sitting']
['682722242111774720', 'sitting', 'woman', 'man', 'looking', 'phone']
['682727470433308672', 'sitting', 'black', 'traffic', 'baseball', 'picture']
['682751920956641280', 'scissors', 'pair', 'wii', 'game', 'sitting']
['682762265041321989', 'black', 'picture', 'white', 'photo', 'baseball']
['682773510196822016', 'sitting', 'white', 'black', 'sign', 'photo']
['682783114343518208', 'cat', 'red', 'sitting', 'laying', 'dog']
['682784347305410560', 'vase', 'flowers', 'glass', 'green', 'flower']
['682836685323956224', 'red', 'sitting', 'white', 'apple', 'pink']
['682864661813981184', 'man', 'woman', 'donut', 'phone', 'food']
['682883715681390593', 'laying', 'pair', 'black', 'sitting', 'phone']
['682906033312935936', 'man', 'street', 'player', 'picture', 'road']
['682931582357893120', 'signs', 'different', 'white', 'street', 'sitting']
['682931696845611008', 'sign', 'white', 'street', 'black', 'red']
['682934584527466496', 'teddy', 'bear', 'man', 'wearing', 'white']
['682987076128657408', 'sitting', 'train', 'black', 'lit', 'sign']
['683009023247953921', 'sign', 'signs', 'street', 'man', 'sitting']
['683062203268780032', 'man', 'baseball', 'holding', 'wearing', 'young']
['683087755019026432', 'food', 'bowl', 'plate', 'table', 'filled']
['683090662418288640', 'sign', 'road', 'clock', 'sitting', 'station']
['683181977726418945', 'people', 'group', 'park', 'riding', 'race']
['683182680360529920', 'wall', 'sitting', 'clock', 'white', 'sign']
['683215653113823232', 'bike', 'bikes', 'man', 'parked', 'riding']
['683250958717956097', 'different', 'signs', 'sitting', 'white', 'black']
['683275769330712577', 'street', 'sign', 'signs', 'white', 'blue']
['683293152787214336', 'teddy', 'stuffed', 'animals', 'red', 'bears']
['683295117847969793', 'road', 'cars', 'street', 'highway', 'driving']
['683302904363638784', 'sign', 'sitting', 'picture', 'book', 'different']
['683308322259398658', 'sign', 'sitting', 'picture', 'green', 'white']
['683313760342249472', 'street', 'sign', 'signs', 'road', 'sitting']
['683324835745902592', 'sign', 'woman', 'holding', 'man', 'sitting']
['683337444511498240', 'man', 'sitting', 'men', 'couple', 'table']
['683344545027854336', 'water', 'grass', 'field', 'black', 'picture']
['683355503947309056', 'woman', 'phone', 'cell', 'sitting', 'women']
